code_uic;ville;villegare;region;departement;lat;lng
87393058;Champ de Mars Tour Eiffel;PARIS CHAMP DE MARS GARE;REGION DE PARIS RIVE GAUCHE;Paris;48.8551134;2.2892141
87391102;Paris Montparnasse Vaugirard;PARIS MONTPARNASSE PORTE OCEANE P GARE;REGION DE PARIS RIVE GAUCHE;Paris;48.841172;2.320514
87387183;Beaumont-le-Roger;BEAUMONT LE ROGER GARE;REGION NORMANDIE;Eure;49.0741722;0.7727865
87386730;Aubergenville Élisabethville;AUBERGENVILLE ELISABETHVILLE GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;48.971825;1.8484987
87386680;Les Mureaux;LES MUREAUX GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;48.9927897;1.9129871
87386540;Munster Badischhof;MUNSTER GARE;REGION ALSACE;Haut-Rhin;48.0390754;7.1528861
87386425;Maisons-Laffitte;MAISONS LAFFITTE GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;48.9456394;2.1443153
87386417;Sartrouville;SARTROUVILLE GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;48.9379523;2.1575173
87386318;Nanterre Université;NANTERRE UNIVERSITE GARE;REGION DE PARIS SAINT-LAZARE;Hauts-de-Seine;48.90122;2.2158277
87733667;Mareil-Marly T13;MAREIL MARLY GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;;
87382804;Saint-Germain-en-Laye Grande Ceinture;SAINT GERMAIN GRANDE CEINTURE GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;48.9032098;2.0733132
87733071;Saint-Nom-la-Bretèche Forêt de Marly T13;SAINT NOM LA BRETECHE GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;;
87382440;Bougival;BOUGIVAL GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;48.8542135;2.1323749
87382382;Puteaux;PUTEAUX GARE;REGION DE PARIS SAINT-LAZARE;Hauts-de-Seine;48.88351;2.23350
87382374;Suresnes Mont Valérien;SURESNES MONT VALERIEN GARE;REGION DE PARIS SAINT-LAZARE;Hauts-de-Seine;48.87155;2.22131
87382259;Garches - Marnes-la-Coquette;GARCHES MARNES LA COQUETTE GARE;REGION DE PARIS SAINT-LAZARE;Hauts-de-Seine;48.83839;2.18692
87381814;Vaux-sur-Seine;VAUX SUR SEINE GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;49.00699;1.96342
87381806;Triel-sur-Seine;TRIEL SUR SEINE GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;48.98099;2.00577
87381715;Mareil-sur-Mauldre;MAREIL SUR MAULDRE GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;48.8936804;1.8715159
87381632;Gilles-Guainville;;;;;
87381590;Mantes-la-Ville;MANTES LA JOLIE GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;48.98366;1.71581
87381574;Issou - Porcheville;ISSOU PORCHEVILLE GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;48.97931;1.78532
87381566;Gargenville;GARGENVILLE GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;48.98318;1.80890
87381475;Chanteloup-les-Vignes;CHANTELOUP LES VIGNES GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;48.97095;2.02771
87731448;Neuilly Porte Maillot RER E;PARIS NEUILLY PORTE MAILLOT GARE;REGION DE PARIS RIVE GAUCHE;Paris;;
87345561;Caudry;CAUDRY GARE;REGION NORD PAS DE CALAIS;Nord;50.11146;3.40983
87345546;Maurois;MAUROIS GARE;REGION PICARDIE;Nord;50.0674506;3.4562554
87345520;Cambrai;CAMBRAI GARE;REGION NORD PAS DE CALAIS;Nord;50.17662;3.24118
87345439;Brunémont;BRUNEMONT HALTE;REGION NORD PAS DE CALAIS;Nord;50.2783197;3.1453509
87345413;Cantin;CANTIN HALTE;REGION NORD PAS DE CALAIS;Nord;50.3124545;3.121943
87345215;Sallaumines;SALLAUMINES HALTE;REGION NORD PAS DE CALAIS;Pas-de-Calais;50.4223266;2.8556769
87345116;Corbehem;CORBEHEM P HALTE;REGION NORD PAS DE CALAIS;Pas-de-Calais;50.3428545;3.0405375
87343319;Raismes;RAISMES (NORD) GARE;REGION NORD PAS DE CALAIS;Nord;50.3902495;3.4788322
87342584;Avion;AVION GARE;REGION NORD PAS DE CALAIS;Pas-de-Calais;50.40723;2.83365
87342337;Saint-Pol-sur-Ternoise;SAINT POL SUR TERNOISE P GARE;REGION NORD PAS DE CALAIS;Pas-de-Calais;50.37913;2.33939
87342261;Ham-en-Artois;HAM EN ARTOIS HALTE;REGION NORD PAS DE CALAIS;Pas-de-Calais;50.5900401;2.4657764
87342238;Lillers;LILLERS GARE;REGION NORD PAS DE CALAIS;Pas-de-Calais;50.56163;2.47903
87342063;Courcelles-le-Comte;COURCELLES LE COMTE HALTE;REGION NORD PAS DE CALAIS;Pas-de-Calais;50.1694124;2.7880351
87342014;Arras;ARRAS P GARE;REGION NORD PAS DE CALAIS;Pas-de-Calais;50.286673;2.781942
87338525;Krimmeri Meinau;STRASBOURG NEUDORF GARE;REGION ALSACE;Bas-Rhin;48.56358;7.75259
87338517;Hoenheim Tram;HOENHEIM P POLE MULTIMODAL;REGION ALSACE;Bas-Rhin;48.6285976;7.7581387
87334482;Neuville Université;NEUVILLE UNIVERSITE GARE;REGION DE PARIS SAINT-LAZARE;Val-d'Oise;49.01426;2.07886
87328328;Bibliothèque François Mitterrand;PARIS TOLBIAC;REGION DE PARIS RIVE GAUCHE;Paris;48.82984;2.37684
87319012;Aix-en-Provence TGV;AIX TGV P GARE PLATEAU D ARBOIS;REGION PROVENCE ALPES COTE D'AZUR;Bouches-du-Rhône;43.455237;5.317534
